what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1320609182051
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1320609188038
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320609189559
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320609194124
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1320609195487
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320609204911
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320609208918
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320609210225
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320609385833
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320609390572
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1320609399417
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1320609399612
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1320609399796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320609401230
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1320609401242
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320609402052
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320609503354
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1320609505483
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320609506949
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320609507778
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320609508026
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.0.201109151620,"org.eclipse.cdt.build.crossgcc",1320609508680
